Wall time,Step,Value
1715032555.0304174,645,4.149390697479248
1715032568.6058166,659,4.177859783172607
1715032577.3377054,668,4.164910316467285
1715032585.0551114,676,4.251100540161133
1715032603.5022936,695,4.243206024169922
1715032629.5843318,722,4.209290981292725
1715032633.453205,726,4.161581516265869
1715032651.844314,745,4.193479537963867
1715032671.2050698,765,4.252810955047607
1715032681.878801,776,4.169193744659424
1715032682.831154,777,4.188023090362549
1715032688.5435467,783,4.1855926513671875
1715032695.2714765,789,4.119388103485107
1715032710.7328796,805,4.172180652618408
1715032711.6855853,806,4.169035911560059
1715032713.6205566,808,4.080939292907715
1715032725.185456,820,4.186740398406982
1715032737.7711263,833,4.1524529457092285
1715032761.9651535,858,4.174786567687988
1715032770.6956105,867,4.066930294036865
1715032775.533582,872,4.073554992675781
1715032789.995206,887,4.14068603515625
1715032800.6321828,898,4.16729736328125
1715032804.52249,902,4.0302863121032715
1715032832.5951986,931,4.089395046234131
1715032844.1742127,943,4.157925605773926
1715032850.9394338,950,4.036575794219971
1715032900.208201,1000,4.057529449462891
1715032903.1245637,1003,4.123238563537598
1715032905.059181,1005,4.111453056335449
1715032915.722088,1016,4.126401901245117
1715032922.4722908,1023,4.08576774597168
1715032926.338054,1027,4.096780776977539
1715032928.2626092,1029,4.151885032653809
1715032937.0222201,1038,4.142160415649414
1715032955.4507902,1057,4.094532489776611
1715032969.0470912,1071,4.1206512451171875
1715032970.0290253,1072,4.101942539215088
1715032971.9543073,1074,4.122782230377197
1715032975.8442538,1078,3.9519457817077637
1715032984.5222137,1087,4.160615921020508
1715032996.2054696,1099,4.148614883422852
1715033000.0730925,1103,4.126475811004639
1715033001.9992766,1105,4.107559680938721
1715033006.8296793,1110,4.04989767074585
1715033008.7711024,1112,4.076084136962891
1715033018.454615,1122,4.121309280395508
1715033022.338095,1126,4.0966267585754395
1715033029.1164494,1133,4.117579936981201
1715033031.0599809,1135,3.989316940307617
1715033042.665189,1147,4.150589942932129
1715033047.50548,1152,4.067340850830078
1715033048.4770558,1153,4.078734874725342
1715033060.1219487,1165,4.119758129119873
1715033069.657027,1175,4.139220237731934
1715033072.8986495,1177,4.063406944274902
1715033080.657307,1185,4.150680065155029
1715033089.3611476,1194,4.131601333618164
1715033090.3421998,1195,4.111808776855469
1715033113.5470333,1219,3.9966797828674316
1715033120.3323073,1226,4.09907341003418
1715033140.5738864,1247,4.139315605163574
1715033145.4143326,1252,4.074912071228027
1715033146.3862126,1253,4.103266716003418
1715033148.3304448,1255,4.08535099029541
1715033151.246858,1258,4.03713846206665
1715033155.0952933,1262,4.01113224029541
1715033160.9413242,1268,4.14602518081665
1715033164.822289,1272,4.113706111907959
1715033169.6187744,1277,4.143563747406006
1715033190.9783702,1299,4.0581135749816895
1715033198.7242846,1307,4.031377792358398
1715033214.2194324,1323,4.023636817932129
1715033217.1168516,1326,4.138293266296387
1715033236.5336747,1346,4.108448505401611
1715033251.046391,1361,4.177870750427246
1715033254.8969016,1365,4.039058208465576
1715033266.2066264,1376,3.9504506587982178
1715033267.17806,1377,3.9955484867095947
1715033306.811193,1418,4.056471824645996
1715033327.1351686,1439,4.077059268951416
1715033328.1072962,1440,4.119277477264404
1715033345.4862998,1458,4.1579909324646
1715033346.438979,1459,4.09643030166626
1715033361.892601,1475,3.9244637489318848
1715033363.8329902,1477,4.127250671386719
1715033377.3541045,1491,4.061822891235352
