Wall time,Step,Value
1714280771.044619,108,2.2952768802642822
1714280834.1765401,173,2.262831687927246
1714280904.607763,245,2.2480218410491943
1714280919.1297438,260,2.2573087215423584
1714281058.8667266,403,2.061732053756714
1714281119.8957086,466,2.1027281284332275
1714281185.3027272,511,2.101649522781372
1714281212.451671,539,2.045832872390747
1714281229.9209492,557,2.0091683864593506
1714281269.3555498,597,2.1243817806243896
1714281329.4177308,659,2.0915918350219727
1714281432.0737898,765,2.005004644393921
1714281471.7444313,805,2.059365749359131
1714281531.565466,867,2.021498680114746
1714281550.9359627,887,2.0006537437438965
1714281698.2387772,1016,1.9768487215042114
1714281708.894465,1027,1.9426755905151367
1714281719.569168,1038,2.0434703826904297
1714281804.931045,1126,2.005236864089966
1714281811.677283,1133,1.9693565368652344
1714281842.6928356,1165,2.0543386936187744
1714281855.2246363,1177,1.996709942817688
1714281862.9768875,1185,2.019577741622925
1714281928.923415,1253,1.9705865383148193
1714281930.8663993,1255,2.007838487625122
1714281947.3256843,1272,2.003347873687744
1714282049.803157,1377,2.030606746673584
1714282089.5037677,1418,1.964928388595581
1714282129.114585,1459,2.039968252182007
1714282163.881801,1495,1.9493895769119263
1714282200.6958106,1511,2.005667209625244
1714282203.593497,1514,1.9525595903396606
1714282237.5077221,1549,1.989040493965149
1714282253.8108716,1566,2.05605149269104
1714282356.2221806,1671,1.9998910427093506
1714282618.3437736,1941,2.0003581047058105
1714282638.7206373,1961,1.9372618198394775
1714282639.682754,1962,1.95802903175354
1714283047.220782,2360,1.9904292821884155
1714283121.7874815,2437,1.9761080741882324
1714283126.6286979,2442,1.9991990327835083
1714283146.9568496,2463,2.132697582244873
1714283149.8455853,2466,2.0321993827819824
1714283208.1362286,2504,2.0263688564300537
1714283280.5328574,2578,2.069671392440796
1714283336.6687915,2636,1.9371657371520996
1714283344.4557753,2644,1.9335532188415527
1714283384.1836634,2685,2.0023655891418457
1714283392.8947942,2694,1.9497108459472656
1714283407.4255605,2709,1.9209954738616943
1714283416.136352,2718,1.9321565628051758
1714283466.2804708,2769,1.9128636121749878
1714283482.7905056,2786,1.9829833507537842
1714283539.877691,2845,1.9870291948318481
1714283665.605533,2974,2.0208823680877686
1714283793.4853842,3084,2.006960868835449
1714283813.909759,3105,1.9984732866287231
1714283814.8817685,3106,1.9670164585113525
1714283854.5279071,3146,1.9729448556900024
1714283906.7641125,3200,1.9995883703231812
1714283924.185413,3218,1.9810599088668823
1714283947.394522,3242,2.0377085208892822
1714283970.641556,3266,1.9514806270599365
1714283973.5642712,3269,1.9923629760742188
1714284059.4583561,3357,1.8917943239212036
1714284105.9678051,3405,1.8632436990737915
1714284182.4708025,3484,1.970167636871338
1714284217.0489032,3501,2.0198001861572266
1714284242.0764744,3527,1.9890419244766235
1714284281.6507819,3567,1.9117238521575928
1714284314.5068092,3601,1.9928083419799805
1714284330.0497797,3617,1.9228408336639404
1714284366.8106427,3655,1.8986949920654297
1714284380.319846,3669,1.9748594760894775
1714284383.2507546,3672,1.9961445331573486
1714284422.9378695,3713,1.9321037530899048
1714284491.1635952,3783,1.8776301145553589
1714284555.0116935,3849,1.930911898612976
1714284619.7084913,3916,1.9114155769348145
1714284735.8124754,4013,1.9494203329086304
