Wall time,Step,Value
1714334422.6361356,500,0.9815999865531921
1714334779.1353285,1000,0.9850999712944031
1714335133.9776258,1500,0.9865000247955322
1714335489.8898542,2000,0.9886000156402588
1714335844.5509002,2500,0.986299991607666
1714336197.5484962,3000,0.9879999756813049
1714336549.2337728,3500,0.9873999953269958
1714336902.1345913,4000,0.9882000088691711
1714337253.7600665,4500,0.9890999794006348
1714337610.1971066,5000,0.9879000186920166
1714337962.7710023,5500,0.9879000186920166
1714338314.4295464,6000,0.9886000156402588
1714338667.3368454,6500,0.989300012588501
1714339023.2087922,7000,0.989300012588501
1714339376.385967,7500,0.9891999959945679
1714339728.2953427,8000,0.9896000027656555
1714340084.576496,8500,0.9901999831199646
1714340440.1509426,9000,0.9902999997138977
1714340796.2829068,9500,0.9904000163078308
1714341153.1200366,10000,0.9902999997138977
